Force,Position,date
224.73,498.04,Mon Jul 14 2014 07:24:00 GMT-0400 (EDT)
155.82,316.36,Mon Jul 14 2014 07:30:00 GMT-0400 (EDT)
158.51,325.93,Mon Jul 14 2014 07:36:00 GMT-0400 (EDT)
85.39,361.98,Mon Jul 14 2014 07:42:00 GMT-0400 (EDT)
82.41,336.69,Mon Jul 14 2014 07:48:00 GMT-0400 (EDT)
78.91,365.05,Mon Jul 14 2014 07:54:00 GMT-0400 (EDT)
199.23,541.09,Mon Jul 14 2014 08:00:00 GMT-0400 (EDT)
72.57,442.06,Mon Jul 14 2014 08:06:00 GMT-0400 (EDT)
159.1,431.96,Mon Jul 14 2014 08:12:00 GMT-0400 (EDT)
96.74,425.69,Mon Jul 14 2014 08:18:00 GMT-0400 (EDT)
85.1,380.5,Mon Jul 14 2014 08:24:00 GMT-0400 (EDT)
83.16,421.84,Mon Jul 14 2014 08:30:00 GMT-0400 (EDT)
148.54,485.73,Mon Jul 14 2014 08:36:00 GMT-0400 (EDT)
166.4,400.51,Mon Jul 14 2014 08:42:00 GMT-0400 (EDT)
47.65,295.79,Mon Jul 14 2014 08:48:00 GMT-0400 (EDT)
0,523.43,Mon Jul 14 2014 08:54:00 GMT-0400 (EDT)
235.59,286.19,Mon Jul 14 2014 09:00:00 GMT-0400 (EDT)
71.54,452.04,Mon Jul 14 2014 09:06:00 GMT-0400 (EDT)
212.46,474.05,Mon Jul 14 2014 09:12:00 GMT-0400 (EDT)
202.86,298.97,Mon Jul 14 2014 09:18:00 GMT-0400 (EDT)
63.35,484.1,Mon Jul 14 2014 09:24:00 GMT-0400 (EDT)
248.56,523.97,Mon Jul 14 2014 09:30:00 GMT-0400 (EDT)
150.48,429.67,Mon Jul 14 2014 09:36:00 GMT-0400 (EDT)
214.81,400.5,Mon Jul 14 2014 09:42:00 GMT-0400 (EDT)
103.36,490.14,Mon Jul 14 2014 09:48:00 GMT-0400 (EDT)
84.89,350.82,Mon Jul 14 2014 09:54:00 GMT-0400 (EDT)
267.54,541.84,Mon Jul 14 2014 10:00:00 GMT-0400 (EDT)
193.72,543.94,Mon Jul 14 2014 10:06:00 GMT-0400 (EDT)
90.16,424.14,Mon Jul 14 2014 10:12:00 GMT-0400 (EDT)
190.4,520.1,Mon Jul 14 2014 10:18:00 GMT-0400 (EDT)
64.75,339.69,Mon Jul 14 2014 10:24:00 GMT-0400 (EDT)
0,404.33,Mon Jul 14 2014 10:30:00 GMT-0400 (EDT)
86.1,522.18,Mon Jul 14 2014 10:36:00 GMT-0400 (EDT)
93.9,459.42,Mon Jul 14 2014 10:42:00 GMT-0400 (EDT)
206.52,397.98,Mon Jul 14 2014 10:48:00 GMT-0400 (EDT)
92.6,508.73,Mon Jul 14 2014 10:54:00 GMT-0400 (EDT)
213.7,383.41,Mon Jul 14 2014 11:00:00 GMT-0400 (EDT)
212.77,403.81,Mon Jul 14 2014 11:06:00 GMT-0400 (EDT)
118.35,401.67,Mon Jul 14 2014 11:12:00 GMT-0400 (EDT)
191.24,369.11,Mon Jul 14 2014 11:18:00 GMT-0400 (EDT)
214.97,516.09,Mon Jul 14 2014 11:24:00 GMT-0400 (EDT)
217.75,516.32,Mon Jul 14 2014 11:30:00 GMT-0400 (EDT)
174.72,370.59,Mon Jul 14 2014 11:36:00 GMT-0400 (EDT)
0,537.51,Mon Jul 14 2014 11:42:00 GMT-0400 (EDT)
249.03,366.15,Mon Jul 14 2014 11:48:00 GMT-0400 (EDT)
256.32,535,Mon Jul 14 2014 11:54:00 GMT-0400 (EDT)
265.73,324.51,Mon Jul 14 2014 12:00:00 GMT-0400 (EDT)
146.95,535.43,Mon Jul 14 2014 12:06:00 GMT-0400 (EDT)
140.33,516.86,Mon Jul 14 2014 12:12:00 GMT-0400 (EDT)
135.97,419.9,Mon Jul 14 2014 12:18:00 GMT-0400 (EDT)
238.31,288.66,Mon Jul 14 2014 12:24:00 GMT-0400 (EDT)
152.17,493.41,Mon Jul 14 2014 12:30:00 GMT-0400 (EDT)
0,377.91,Mon Jul 14 2014 12:36:00 GMT-0400 (EDT)
172.31,509.01,Mon Jul 14 2014 12:42:00 GMT-0400 (EDT)
126.38,399.78,Mon Jul 14 2014 12:48:00 GMT-0400 (EDT)
143.44,449.25,Mon Jul 14 2014 12:54:00 GMT-0400 (EDT)
0,387.15,Mon Jul 14 2014 13:00:00 GMT-0400 (EDT)
199.24,477.64,Mon Jul 14 2014 13:06:00 GMT-0400 (EDT)
156.52,367.07,Mon Jul 14 2014 13:12:00 GMT-0400 (EDT)
324.07,538.66,Mon Jul 14 2014 13:18:00 GMT-0400 (EDT)
200.11,515.58,Mon Jul 14 2014 13:24:00 GMT-0400 (EDT)
298.52,496.99,Mon Jul 14 2014 13:30:00 GMT-0400 (EDT)
278.93,366.25,Mon Jul 14 2014 13:36:00 GMT-0400 (EDT)
146.24,518.27,Mon Jul 14 2014 13:42:00 GMT-0400 (EDT)
131.35,384.5,Mon Jul 14 2014 13:48:00 GMT-0400 (EDT)
136.19,501.3,Mon Jul 14 2014 13:54:00 GMT-0400 (EDT)
267.19,509.17,Mon Jul 14 2014 14:00:00 GMT-0400 (EDT)
328.63,558.2,Mon Jul 14 2014 14:06:00 GMT-0400 (EDT)
236.81,297.79,Mon Jul 14 2014 14:12:00 GMT-0400 (EDT)
293.17,348.37,Mon Jul 14 2014 14:18:00 GMT-0400 (EDT)
295.81,402.02,Mon Jul 14 2014 14:24:00 GMT-0400 (EDT)
218.33,517.69,Mon Jul 14 2014 14:30:00 GMT-0400 (EDT)
136.69,393.84,Mon Jul 14 2014 14:36:00 GMT-0400 (EDT)
170.34,320.88,Mon Jul 14 2014 14:42:00 GMT-0400 (EDT)
215.49,532.1,Mon Jul 14 2014 14:48:00 GMT-0400 (EDT)
0,335.43,Mon Jul 14 2014 14:54:00 GMT-0400 (EDT)
161.74,448.07,Mon Jul 14 2014 15:00:00 GMT-0400 (EDT)
290.52,510.64,Mon Jul 14 2014 15:06:00 GMT-0400 (EDT)
207.12,360.54,Mon Jul 14 2014 15:12:00 GMT-0400 (EDT)
143.47,553.5,Mon Jul 14 2014 15:18:00 GMT-0400 (EDT)
150.9,405.76,Mon Jul 14 2014 15:24:00 GMT-0400 (EDT)
295.7,349.32,Mon Jul 14 2014 15:30:00 GMT-0400 (EDT)
237.42,340.87,Mon Jul 14 2014 15:36:00 GMT-0400 (EDT)
185.09,481.08,Mon Jul 14 2014 15:42:00 GMT-0400 (EDT)
108.56,526.55,Mon Jul 14 2014 15:48:00 GMT-0400 (EDT)
346.7,495.24,Mon Jul 14 2014 15:54:00 GMT-0400 (EDT)
0,359.34,Mon Jul 14 2014 16:00:00 GMT-0400 (EDT)
149.5,557.63,Mon Jul 14 2014 16:06:00 GMT-0400 (EDT)
264.81,304.74,Mon Jul 14 2014 16:12:00 GMT-0400 (EDT)
251.79,385.46,Mon Jul 14 2014 16:18:00 GMT-0400 (EDT)
197.43,471.76,Mon Jul 14 2014 16:24:00 GMT-0400 (EDT)
253.69,305.18,Mon Jul 14 2014 16:30:00 GMT-0400 (EDT)
0,306.17,Mon Jul 14 2014 16:36:00 GMT-0400 (EDT)
208.21,446.69,Mon Jul 14 2014 16:42:00 GMT-0400 (EDT)
177.4,470.72,Mon Jul 14 2014 16:48:00 GMT-0400 (EDT)
304.01,356.63,Mon Jul 14 2014 16:54:00 GMT-0400 (EDT)
318.86,459.54,Mon Jul 14 2014 17:00:00 GMT-0400 (EDT)
338.36,434.25,Mon Jul 14 2014 17:06:00 GMT-0400 (EDT)
171.67,433.03,Mon Jul 14 2014 17:12:00 GMT-0400 (EDT)
338.11,485.95,Mon Jul 14 2014 17:18:00 GMT-0400 (EDT)
0,395.89,Mon Jul 14 2014 17:24:00 GMT-0400 (EDT)
200.17,458.19,Mon Jul 14 2014 17:30:00 GMT-0400 (EDT)
276.54,375.03,Mon Jul 14 2014 17:36:00 GMT-0400 (EDT)
137.25,319.2,Mon Jul 14 2014 17:42:00 GMT-0400 (EDT)
0,476.02,Mon Jul 14 2014 17:48:00 GMT-0400 (EDT)
127.29,304.31,Mon Jul 14 2014 17:54:00 GMT-0400 (EDT)
0,398.77,Mon Jul 14 2014 18:00:00 GMT-0400 (EDT)
205.4,313.15,Mon Jul 14 2014 18:06:00 GMT-0400 (EDT)
365.09,372.98,Mon Jul 14 2014 18:12:00 GMT-0400 (EDT)
255.7,354.34,Mon Jul 14 2014 18:18:00 GMT-0400 (EDT)
179.67,494.05,Mon Jul 14 2014 18:24:00 GMT-0400 (EDT)
284.59,487.95,Mon Jul 14 2014 18:30:00 GMT-0400 (EDT)
270.46,487.78,Mon Jul 14 2014 18:36:00 GMT-0400 (EDT)
350.31,392.13,Mon Jul 14 2014 18:42:00 GMT-0400 (EDT)
161.92,444.32,Mon Jul 14 2014 18:48:00 GMT-0400 (EDT)
0,395.98,Mon Jul 14 2014 18:54:00 GMT-0400 (EDT)
299.28,554.37,Mon Jul 14 2014 19:00:00 GMT-0400 (EDT)
151.83,417.42,Mon Jul 14 2014 19:06:00 GMT-0400 (EDT)
289.25,326.03,Mon Jul 14 2014 19:12:00 GMT-0400 (EDT)
0,529.94,Mon Jul 14 2014 19:18:00 GMT-0400 (EDT)
0,308.97,Mon Jul 14 2014 19:24:00 GMT-0400 (EDT)
341.77,361.18,Mon Jul 14 2014 19:30:00 GMT-0400 (EDT)
317.63,336.88,Mon Jul 14 2014 19:36:00 GMT-0400 (EDT)
0,379.24,Mon Jul 14 2014 19:42:00 GMT-0400 (EDT)
170.53,365.97,Mon Jul 14 2014 19:48:00 GMT-0400 (EDT)
0,497.01,Mon Jul 14 2014 19:54:00 GMT-0400 (EDT)
352.7,474.67,Mon Jul 14 2014 20:00:00 GMT-0400 (EDT)
0,566.11,Mon Jul 14 2014 20:06:00 GMT-0400 (EDT)
186.46,389.15,Mon Jul 14 2014 20:12:00 GMT-0400 (EDT)
284.27,411.77,Mon Jul 14 2014 20:18:00 GMT-0400 (EDT)
246.3,429.14,Mon Jul 14 2014 20:24:00 GMT-0400 (EDT)
322.02,548.58,Mon Jul 14 2014 20:30:00 GMT-0400 (EDT)
176.26,458.54,Mon Jul 14 2014 20:36:00 GMT-0400 (EDT)
271.87,416.91,Mon Jul 14 2014 20:42:00 GMT-0400 (EDT)
247.1,422.46,Mon Jul 14 2014 20:48:00 GMT-0400 (EDT)
385.41,555.86,Mon Jul 14 2014 20:54:00 GMT-0400 (EDT)
213.71,459.91,Mon Jul 14 2014 21:00:00 GMT-0400 (EDT)
182.8,410.49,Mon Jul 14 2014 21:06:00 GMT-0400 (EDT)
282.28,455.34,Mon Jul 14 2014 21:12:00 GMT-0400 (EDT)
258.75,568.12,Mon Jul 14 2014 21:18:00 GMT-0400 (EDT)
207.48,511.67,Mon Jul 14 2014 21:24:00 GMT-0400 (EDT)
239.41,326.34,Mon Jul 14 2014 21:30:00 GMT-0400 (EDT)
268.37,407.41,Mon Jul 14 2014 21:36:00 GMT-0400 (EDT)
347.67,514.67,Mon Jul 14 2014 21:42:00 GMT-0400 (EDT)
0,358.37,Mon Jul 14 2014 21:48:00 GMT-0400 (EDT)
187.75,397.72,Mon Jul 14 2014 21:54:00 GMT-0400 (EDT)
0,361.51,Mon Jul 14 2014 22:00:00 GMT-0400 (EDT)
320.39,306.06,Mon Jul 14 2014 22:06:00 GMT-0400 (EDT)
337.5,358.87,Mon Jul 14 2014 22:12:00 GMT-0400 (EDT)
178.99,428.56,Mon Jul 14 2014 22:18:00 GMT-0400 (EDT)
221.86,488.29,Mon Jul 14 2014 22:24:00 GMT-0400 (EDT)
227.9,429.5,Mon Jul 14 2014 22:30:00 GMT-0400 (EDT)
190.57,339.89,Mon Jul 14 2014 22:36:00 GMT-0400 (EDT)
328.54,525.46,Mon Jul 14 2014 22:42:00 GMT-0400 (EDT)
296.54,328.93,Mon Jul 14 2014 22:48:00 GMT-0400 (EDT)
290.38,340.08,Mon Jul 14 2014 22:54:00 GMT-0400 (EDT)
394.17,539.26,Mon Jul 14 2014 23:00:00 GMT-0400 (EDT)
0,489.92,Mon Jul 14 2014 23:06:00 GMT-0400 (EDT)
325.29,446.29,Mon Jul 14 2014 23:12:00 GMT-0400 (EDT)
358.41,476.96,Mon Jul 14 2014 23:18:00 GMT-0400 (EDT)
323.9,534.54,Mon Jul 14 2014 23:24:00 GMT-0400 (EDT)
413.3,310.03,Mon Jul 14 2014 23:30:00 GMT-0400 (EDT)
405.01,446.6,Mon Jul 14 2014 23:36:00 GMT-0400 (EDT)
352.56,411.51,Mon Jul 14 2014 23:42:00 GMT-0400 (EDT)
0,326.15,Mon Jul 14 2014 23:48:00 GMT-0400 (EDT)
280.52,504.69,Mon Jul 14 2014 23:54:00 GMT-0400 (EDT)
181.36,519.38,Tue Jul 15 2014 00:00:00 GMT-0400 (EDT)
253.2,500.26,Tue Jul 15 2014 00:06:00 GMT-0400 (EDT)
0,340.59,Tue Jul 15 2014 00:12:00 GMT-0400 (EDT)
402.89,398.15,Tue Jul 15 2014 00:18:00 GMT-0400 (EDT)
320.77,547.46,Tue Jul 15 2014 00:24:00 GMT-0400 (EDT)
423.95,494.26,Tue Jul 15 2014 00:30:00 GMT-0400 (EDT)
403.62,373.96,Tue Jul 15 2014 00:36:00 GMT-0400 (EDT)
292.88,316.76,Tue Jul 15 2014 00:42:00 GMT-0400 (EDT)
0,381.96,Tue Jul 15 2014 00:48:00 GMT-0400 (EDT)
350.35,516.04,Tue Jul 15 2014 00:54:00 GMT-0400 (EDT)
0,430.22,Tue Jul 15 2014 01:00:00 GMT-0400 (EDT)
306.67,568.07,Tue Jul 15 2014 01:06:00 GMT-0400 (EDT)
332.57,332.99,Tue Jul 15 2014 01:12:00 GMT-0400 (EDT)
391.89,315.46,Tue Jul 15 2014 01:18:00 GMT-0400 (EDT)
334.98,479.67,Tue Jul 15 2014 01:24:00 GMT-0400 (EDT)
0,372.73,Tue Jul 15 2014 01:30:00 GMT-0400 (EDT)
249.17,517.87,Tue Jul 15 2014 01:36:00 GMT-0400 (EDT)
405.35,503.54,Tue Jul 15 2014 01:42:00 GMT-0400 (EDT)
365.23,420.82,Tue Jul 15 2014 01:48:00 GMT-0400 (EDT)
329.44,379.04,Tue Jul 15 2014 01:54:00 GMT-0400 (EDT)
342.44,459.23,Tue Jul 15 2014 02:00:00 GMT-0400 (EDT)
379.06,530.76,Tue Jul 15 2014 02:06:00 GMT-0400 (EDT)
239.43,522.25,Tue Jul 15 2014 02:12:00 GMT-0400 (EDT)
232.13,412.94,Tue Jul 15 2014 02:18:00 GMT-0400 (EDT)
249.79,431.06,Tue Jul 15 2014 02:24:00 GMT-0400 (EDT)
386.66,583.28,Tue Jul 15 2014 02:30:00 GMT-0400 (EDT)
291.14,560.74,Tue Jul 15 2014 02:36:00 GMT-0400 (EDT)
207.05,515.28,Tue Jul 15 2014 02:42:00 GMT-0400 (EDT)
288.88,373.83,Tue Jul 15 2014 02:48:00 GMT-0400 (EDT)
423.04,332.88,Tue Jul 15 2014 02:54:00 GMT-0400 (EDT)
332.23,340.15,Tue Jul 15 2014 03:00:00 GMT-0400 (EDT)
397.57,389.52,Tue Jul 15 2014 03:06:00 GMT-0400 (EDT)
266.21,359.33,Tue Jul 15 2014 03:12:00 GMT-0400 (EDT)
0,414.63,Tue Jul 15 2014 03:18:00 GMT-0400 (EDT)
0,498.15,Tue Jul 15 2014 03:24:00 GMT-0400 (EDT)
334.37,343.97,Tue Jul 15 2014 03:30:00 GMT-0400 (EDT)
