Force,Position,date
89.093,474.976,Mon Jul 14 2014 07:24:00 GMT-0400 (EDT)
118.204,503.6259999999999,Mon Jul 14 2014 08:24:00 GMT-0400 (EDT)
109.30999999999999,530.537,Mon Jul 14 2014 09:24:00 GMT-0400 (EDT)
115.43699999999998,505.02200000000005,Mon Jul 14 2014 10:24:00 GMT-0400 (EDT)
120.708,515.307,Mon Jul 14 2014 11:24:00 GMT-0400 (EDT)
126.16000000000001,537.26,Mon Jul 14 2014 12:24:00 GMT-0400 (EDT)
125.899,543.2259999999999,Mon Jul 14 2014 13:24:00 GMT-0400 (EDT)
131.474,543.0989999999999,Mon Jul 14 2014 14:24:00 GMT-0400 (EDT)
139.693,527.201,Mon Jul 14 2014 15:24:00 GMT-0400 (EDT)
138.718,525.8879999999999,Mon Jul 14 2014 16:24:00 GMT-0400 (EDT)
130.594,532.392,Mon Jul 14 2014 17:24:00 GMT-0400 (EDT)
142.337,517.1429999999999,Mon Jul 14 2014 18:24:00 GMT-0400 (EDT)
155.248,512.8950000000001,Mon Jul 14 2014 19:24:00 GMT-0400 (EDT)
153.64800000000002,515.8870000000001,Mon Jul 14 2014 20:24:00 GMT-0400 (EDT)
157.693,559.8770000000001,Mon Jul 14 2014 21:24:00 GMT-0400 (EDT)
151.658,583.3299999999999,Mon Jul 14 2014 22:24:00 GMT-0400 (EDT)
167.146,608.612,Mon Jul 14 2014 23:24:00 GMT-0400 (EDT)
159.684,550.907,Tue Jul 15 2014 00:24:00 GMT-0400 (EDT)
194.999,548.137,Tue Jul 15 2014 01:24:00 GMT-0400 (EDT)
176.148,623.1670000000001,Tue Jul 15 2014 02:24:00 GMT-0400 (EDT)
69.49100000000001,230.121,Tue Jul 15 2014 03:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 04:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 05:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 06:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 07:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 08:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 09:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 10:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 11:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 12:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 13:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 14:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 15:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 16:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 17:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 18:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 19:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 20:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 21:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 22:24:00 GMT-0400 (EDT)
152.082,390.988,Tue Jul 15 2014 23:24:00 GMT-0400 (EDT)
237.587,709.8679999999999,Wed Jul 16 2014 00:24:00 GMT-0400 (EDT)
249.63600000000002,704.4089999999999,Wed Jul 16 2014 01:24:00 GMT-0400 (EDT)
253.776,651.68,Wed Jul 16 2014 02:24:00 GMT-0400 (EDT)
261.3189999999999,733.5649999999999,Wed Jul 16 2014 03:24:00 GMT-0400 (EDT)
255.14300000000003,697.4390000000001,Wed Jul 16 2014 04:24:00 GMT-0400 (EDT)
262.64099999999996,696.3480000000001,Wed Jul 16 2014 05:24:00 GMT-0400 (EDT)
251.156,732.332,Wed Jul 16 2014 06:24:00 GMT-0400 (EDT)
293.25100000000003,730.817,Wed Jul 16 2014 07:24:00 GMT-0400 (EDT)
270.09799999999996,718.324,Wed Jul 16 2014 08:24:00 GMT-0400 (EDT)
281.335,689.9779999999998,Wed Jul 16 2014 09:24:00 GMT-0400 (EDT)
270.461,722.92,Wed Jul 16 2014 10:24:00 GMT-0400 (EDT)
289.283,684.3749999999999,Wed Jul 16 2014 11:24:00 GMT-0400 (EDT)
272.75399999999996,753.46,Wed Jul 16 2014 12:24:00 GMT-0400 (EDT)
292.96999999999997,762.017,Wed Jul 16 2014 13:24:00 GMT-0400 (EDT)
298.886,718.9219999999999,Wed Jul 16 2014 14:24:00 GMT-0400 (EDT)
282.56100000000004,723.1249999999999,Wed Jul 16 2014 15:24:00 GMT-0400 (EDT)
276.06,722.827,Wed Jul 16 2014 16:24:00 GMT-0400 (EDT)
115.157,278.384,Wed Jul 16 2014 17:24:00 GMT-0400 (EDT)
125.06099999999999,283.056,Wed Jul 16 2014 18:24:00 GMT-0400 (EDT)
302.20700000000005,754.362,Wed Jul 16 2014 19:24:00 GMT-0400 (EDT)
322.982,793.4709999999999,Wed Jul 16 2014 20:24:00 GMT-0400 (EDT)
236.35100000000003,600.779,Wed Jul 16 2014 21:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 22:24:00 GMT-0400 (EDT)
315.25999999999993,782.5139999999999,Wed Jul 16 2014 23:24:00 GMT-0400 (EDT)
296.835,749.91,Thu Jul 17 2014 00:24:00 GMT-0400 (EDT)
316.265,725.1879999999999,Thu Jul 17 2014 01:24:00 GMT-0400 (EDT)
303.805,761.2669999999999,Thu Jul 17 2014 02:24:00 GMT-0400 (EDT)
322.443,773.0759999999999,Thu Jul 17 2014 03:24:00 GMT-0400 (EDT)
315.9229999999999,711.7319999999999,Thu Jul 17 2014 04:24:00 GMT-0400 (EDT)
325.0679999999999,762.1340000000001,Thu Jul 17 2014 05:24:00 GMT-0400 (EDT)
326.81100000000004,740.239,Thu Jul 17 2014 06:24:00 GMT-0400 (EDT)
307.483,700.9399999999998,Thu Jul 17 2014 07:24:00 GMT-0400 (EDT)
0,0,Thu Jul 17 2014 08:24:00 GMT-0400 (EDT)
199.97600000000003,530.656,Thu Jul 17 2014 09:24:00 GMT-0400 (EDT)
336.482,764.2239999999999,Thu Jul 17 2014 10:24:00 GMT-0400 (EDT)
321.854,762.836,Thu Jul 17 2014 11:24:00 GMT-0400 (EDT)
349.217,727.854,Thu Jul 17 2014 12:24:00 GMT-0400 (EDT)
348.78900000000004,760.2109999999999,Thu Jul 17 2014 13:24:00 GMT-0400 (EDT)
335.968,741.314,Thu Jul 17 2014 14:24:00 GMT-0400 (EDT)
142.102,258.017,Thu Jul 17 2014 15:24:00 GMT-0400 (EDT)
134.798,285.346,Thu Jul 17 2014 16:24:00 GMT-0400 (EDT)
387.098,695.0419999999999,Thu Jul 17 2014 17:24:00 GMT-0400 (EDT)
376.93299999999994,723.8619999999999,Thu Jul 17 2014 18:24:00 GMT-0400 (EDT)
341.137,749.235,Thu Jul 17 2014 19:24:00 GMT-0400 (EDT)
338.809,741.946,Thu Jul 17 2014 20:24:00 GMT-0400 (EDT)
360.66600000000005,727.5809999999999,Thu Jul 17 2014 21:24:00 GMT-0400 (EDT)
377.817,719.543,Thu Jul 17 2014 22:24:00 GMT-0400 (EDT)
360.369,677.5160000000001,Thu Jul 17 2014 23:24:00 GMT-0400 (EDT)
384.62499999999994,741.686,Fri Jul 18 2014 00:24:00 GMT-0400 (EDT)
390.102,766.1479999999999,Fri Jul 18 2014 01:24:00 GMT-0400 (EDT)
379.48499999999996,761.575,Fri Jul 18 2014 02:24:00 GMT-0400 (EDT)
372.329,709.715,Fri Jul 18 2014 03:24:00 GMT-0400 (EDT)
413.968,776.024,Fri Jul 18 2014 04:24:00 GMT-0400 (EDT)
365.76,729.939,Fri Jul 18 2014 05:24:00 GMT-0400 (EDT)
368.274,699.147,Fri Jul 18 2014 06:24:00 GMT-0400 (EDT)
400.95700000000005,744.583,Fri Jul 18 2014 07:24:00 GMT-0400 (EDT)
374.601,706.076,Fri Jul 18 2014 08:24:00 GMT-0400 (EDT)
393.38,727.9529999999999,Fri Jul 18 2014 09:24:00 GMT-0400 (EDT)
396.001,734.8979999999999,Fri Jul 18 2014 10:24:00 GMT-0400 (EDT)
387.689,731.4559999999999,Fri Jul 18 2014 11:24:00 GMT-0400 (EDT)
387.604,668.871,Fri Jul 18 2014 12:24:00 GMT-0400 (EDT)
354.514,690.973,Fri Jul 18 2014 13:24:00 GMT-0400 (EDT)
384.57500000000005,687.0690000000001,Fri Jul 18 2014 14:24:00 GMT-0400 (EDT)
418.56000000000006,724.96,Fri Jul 18 2014 15:24:00 GMT-0400 (EDT)
363.47799999999995,710.405,Fri Jul 18 2014 16:24:00 GMT-0400 (EDT)
353.63399999999996,719.016,Fri Jul 18 2014 17:24:00 GMT-0400 (EDT)
391.30100000000004,694.485,Fri Jul 18 2014 18:24:00 GMT-0400 (EDT)
392.72099999999995,661.938,Fri Jul 18 2014 19:24:00 GMT-0400 (EDT)
418.104,653.3350000000002,Fri Jul 18 2014 20:24:00 GMT-0400 (EDT)
403.51699999999994,692.06,Fri Jul 18 2014 21:24:00 GMT-0400 (EDT)
407.21500000000003,642.481,Fri Jul 18 2014 22:24:00 GMT-0400 (EDT)
396.195,652.3280000000001,Fri Jul 18 2014 23:24:00 GMT-0400 (EDT)
385.23199999999997,681.731,Sat Jul 19 2014 00:24:00 GMT-0400 (EDT)
403.572,625.996,Sat Jul 19 2014 01:24:00 GMT-0400 (EDT)
398.80199999999996,657.8639999999999,Sat Jul 19 2014 02:24:00 GMT-0400 (EDT)
387.11499999999995,655.206,Sat Jul 19 2014 03:24:00 GMT-0400 (EDT)
395.45700000000005,654.73,Sat Jul 19 2014 04:24:00 GMT-0400 (EDT)
401.89,626.933,Sat Jul 19 2014 05:24:00 GMT-0400 (EDT)
382.26000000000005,639.17,Sat Jul 19 2014 06:24:00 GMT-0400 (EDT)
416.5,609.941,Sat Jul 19 2014 07:24:00 GMT-0400 (EDT)
405.96500000000003,621.993,Sat Jul 19 2014 08:24:00 GMT-0400 (EDT)
393.786,612.585,Sat Jul 19 2014 09:24:00 GMT-0400 (EDT)
385.757,640.2850000000001,Sat Jul 19 2014 10:24:00 GMT-0400 (EDT)
231.72799999999998,334.78900000000004,Sat Jul 19 2014 11:24:00 GMT-0400 (EDT)
81.189,122.518,Sat Jul 19 2014 12:24:00 GMT-0400 (EDT)
423.908,631.019,Sat Jul 19 2014 13:24:00 GMT-0400 (EDT)
425.038,612.573,Sat Jul 19 2014 14:24:00 GMT-0400 (EDT)
395.858,595.442,Sat Jul 19 2014 15:24:00 GMT-0400 (EDT)
386.46500000000003,608.4749999999999,Sat Jul 19 2014 16:24:00 GMT-0400 (EDT)
429.741,542.543,Sat Jul 19 2014 17:24:00 GMT-0400 (EDT)
