Force,Position,date
101.03,390.83,Mon Jul 14 2014 07:24:00 GMT-0400 (EDT)
0,562.59,Mon Jul 14 2014 07:30:00 GMT-0400 (EDT)
93.34,454.11,Mon Jul 14 2014 07:36:00 GMT-0400 (EDT)
207.38,556.85,Mon Jul 14 2014 07:42:00 GMT-0400 (EDT)
10,369.4,Mon Jul 14 2014 07:48:00 GMT-0400 (EDT)
36.25,362.26,Mon Jul 14 2014 07:54:00 GMT-0400 (EDT)
220.02,557.42,Mon Jul 14 2014 08:00:00 GMT-0400 (EDT)
50.07,483.31,Mon Jul 14 2014 08:06:00 GMT-0400 (EDT)
47.78,473.85,Mon Jul 14 2014 08:12:00 GMT-0400 (EDT)
125.06,539.14,Mon Jul 14 2014 08:18:00 GMT-0400 (EDT)
101.67,506.24,Mon Jul 14 2014 08:24:00 GMT-0400 (EDT)
52.24,427.54,Mon Jul 14 2014 08:30:00 GMT-0400 (EDT)
213.4,497.23,Mon Jul 14 2014 08:36:00 GMT-0400 (EDT)
144.13,616.21,Mon Jul 14 2014 08:42:00 GMT-0400 (EDT)
65.96,358.16,Mon Jul 14 2014 08:48:00 GMT-0400 (EDT)
127.41,617.68,Mon Jul 14 2014 08:54:00 GMT-0400 (EDT)
129.2,455.97,Mon Jul 14 2014 09:00:00 GMT-0400 (EDT)
0,603.99,Mon Jul 14 2014 09:06:00 GMT-0400 (EDT)
158.43,583.11,Mon Jul 14 2014 09:12:00 GMT-0400 (EDT)
189.6,370.13,Mon Jul 14 2014 09:18:00 GMT-0400 (EDT)
17.67,372.93,Mon Jul 14 2014 09:24:00 GMT-0400 (EDT)
108.53,547.92,Mon Jul 14 2014 09:30:00 GMT-0400 (EDT)
269.88,616.04,Mon Jul 14 2014 09:36:00 GMT-0400 (EDT)
0,581.88,Mon Jul 14 2014 09:42:00 GMT-0400 (EDT)
100.78,508.78,Mon Jul 14 2014 09:48:00 GMT-0400 (EDT)
237.95,415.89,Mon Jul 14 2014 09:54:00 GMT-0400 (EDT)
73.3,628.36,Mon Jul 14 2014 10:00:00 GMT-0400 (EDT)
56.68,533.71,Mon Jul 14 2014 10:06:00 GMT-0400 (EDT)
129.01,554.26,Mon Jul 14 2014 10:12:00 GMT-0400 (EDT)
99.3,545.6,Mon Jul 14 2014 10:18:00 GMT-0400 (EDT)
108.04,504.91,Mon Jul 14 2014 10:24:00 GMT-0400 (EDT)
253.93,587.57,Mon Jul 14 2014 10:30:00 GMT-0400 (EDT)
110.06,520.14,Mon Jul 14 2014 10:36:00 GMT-0400 (EDT)
16.59,457.35,Mon Jul 14 2014 10:42:00 GMT-0400 (EDT)
176.03,357.24,Mon Jul 14 2014 10:48:00 GMT-0400 (EDT)
116.51,438.71,Mon Jul 14 2014 10:54:00 GMT-0400 (EDT)
69.8,528.74,Mon Jul 14 2014 11:00:00 GMT-0400 (EDT)
116.93,437.18,Mon Jul 14 2014 11:06:00 GMT-0400 (EDT)
141.93,592.7,Mon Jul 14 2014 11:12:00 GMT-0400 (EDT)
44.55,625.68,Mon Jul 14 2014 11:18:00 GMT-0400 (EDT)
171.01,383.33,Mon Jul 14 2014 11:24:00 GMT-0400 (EDT)
231.34,618.75,Mon Jul 14 2014 11:30:00 GMT-0400 (EDT)
14,601.64,Mon Jul 14 2014 11:36:00 GMT-0400 (EDT)
114.65,605.63,Mon Jul 14 2014 11:42:00 GMT-0400 (EDT)
143.36,553.39,Mon Jul 14 2014 11:48:00 GMT-0400 (EDT)
106.88,453.25,Mon Jul 14 2014 11:54:00 GMT-0400 (EDT)
67.9,360.39,Mon Jul 14 2014 12:00:00 GMT-0400 (EDT)
209.66,489.17,Mon Jul 14 2014 12:06:00 GMT-0400 (EDT)
50.24,614.83,Mon Jul 14 2014 12:12:00 GMT-0400 (EDT)
98.04,472.69,Mon Jul 14 2014 12:18:00 GMT-0400 (EDT)
154.7,631.11,Mon Jul 14 2014 12:24:00 GMT-0400 (EDT)
87.51,513.68,Mon Jul 14 2014 12:30:00 GMT-0400 (EDT)
