Force,Position,date
224.73,498.04,Thu Aug 14 2014 07:24:00 GMT-0400 (EDT)
155.82,316.36,Thu Aug 14 2014 07:30:00 GMT-0400 (EDT)
158.51,325.93,Thu Aug 14 2014 07:36:00 GMT-0400 (EDT)
85.39,361.98,Thu Aug 14 2014 07:42:00 GMT-0400 (EDT)
82.41,336.69,Thu Aug 14 2014 07:48:00 GMT-0400 (EDT)
78.91,365.05,Thu Aug 14 2014 07:54:00 GMT-0400 (EDT)
199.23,541.09,Thu Aug 14 2014 08:00:00 GMT-0400 (EDT)
72.57,442.06,Thu Aug 14 2014 08:06:00 GMT-0400 (EDT)
159.1,431.96,Thu Aug 14 2014 08:12:00 GMT-0400 (EDT)
96.74,425.69,Thu Aug 14 2014 08:18:00 GMT-0400 (EDT)
85.1,380.5,Thu Aug 14 2014 08:24:00 GMT-0400 (EDT)
83.16,421.84,Thu Aug 14 2014 08:30:00 GMT-0400 (EDT)
148.54,485.73,Thu Aug 14 2014 08:36:00 GMT-0400 (EDT)
166.4,400.51,Thu Aug 14 2014 08:42:00 GMT-0400 (EDT)
47.65,295.79,Thu Aug 14 2014 08:48:00 GMT-0400 (EDT)
0,523.43,Thu Aug 14 2014 08:54:00 GMT-0400 (EDT)
235.59,286.19,Thu Aug 14 2014 09:00:00 GMT-0400 (EDT)
71.54,452.04,Thu Aug 14 2014 09:06:00 GMT-0400 (EDT)
212.46,474.05,Thu Aug 14 2014 09:12:00 GMT-0400 (EDT)
202.86,298.97,Thu Aug 14 2014 09:18:00 GMT-0400 (EDT)
63.35,484.1,Thu Aug 14 2014 09:24:00 GMT-0400 (EDT)
248.56,523.97,Thu Aug 14 2014 09:30:00 GMT-0400 (EDT)
150.48,429.67,Thu Aug 14 2014 09:36:00 GMT-0400 (EDT)
214.81,400.5,Thu Aug 14 2014 09:42:00 GMT-0400 (EDT)
103.36,490.14,Thu Aug 14 2014 09:48:00 GMT-0400 (EDT)
84.89,350.82,Thu Aug 14 2014 09:54:00 GMT-0400 (EDT)
267.54,541.84,Thu Aug 14 2014 10:00:00 GMT-0400 (EDT)
193.72,543.94,Thu Aug 14 2014 10:06:00 GMT-0400 (EDT)
90.16,424.14,Thu Aug 14 2014 10:12:00 GMT-0400 (EDT)
190.4,520.1,Thu Aug 14 2014 10:18:00 GMT-0400 (EDT)
64.75,339.69,Thu Aug 14 2014 10:24:00 GMT-0400 (EDT)
0,404.33,Thu Aug 14 2014 10:30:00 GMT-0400 (EDT)
86.1,522.18,Thu Aug 14 2014 10:36:00 GMT-0400 (EDT)
93.9,459.42,Thu Aug 14 2014 10:42:00 GMT-0400 (EDT)
206.52,397.98,Thu Aug 14 2014 10:48:00 GMT-0400 (EDT)
92.6,508.73,Thu Aug 14 2014 10:54:00 GMT-0400 (EDT)
