Force,Position,date
450,242.6,507
1450,224.8,541
2450,204.4,448
3450,239.2,492
4450,230.4,548
5450,203,458
6450,234.6,476
7450,235.9,551
8450,203.2,470
9450,229.2,463
360450,166.2,349
361450,141.8,307
362450,154.4,286
363450,168.3,345
364450,144.2,317
365450,150.3,282
366450,169.4,339
367450,147.6,327
368450,146.8,280
369450,169.2,331
720450,154.6,347
721450,147,290
722450,171.6,333
723450,158.7,354
724450,144.8,294
725450,169.2,323
726450,162.8,359
727450,143.6,300
728450,166.2,313
729450,166.6,362
1080450,77.9,344
1081450,88,340
1082450,91.9,403
1083450,78.6,355
1084450,85.8,332
1085450,93.1,400
1086450,79.7,366
1087450,83.5,326
1088450,93.8,393
1089450,81.6,377
1440450,78.7,301
1441450,90.5,357
1442450,80.6,360
1443450,76.9,302
1444450,89.9,347
1445450,82.9,368
1446450,75.9,305
1447450,88.6,337
1448450,85,373
1449450,75.1,311
1800450,82.9,352
1801450,82.9,405
1802450,71.4,344
1803450,80.9,341
1804450,84.3,405
1805450,72.1,355
1806450,78.9,333
1807450,85.6,401
1808450,73.2,366
1809450,76.9,327
2160450,216.5,582
2161450,187.9,557
2162450,188,479
2163450,216.5,569
2164450,192.9,572
2165450,184.2,479
2166450,215.1,553
2167450,197.8,584
2168450,181.2,484
2169450,212.2,536
2520450,74.3,485
2521450,65.5,404
2522450,76,425
2523450,75.8,489
2524450,65.6,415
2525450,74.3,413
2526450,77.3,489
2527450,66,428
2528450,72.5,403
2529450,78.4,484
2880450,148,434
2881450,155.6,389
2882450,174.2,469
2883450,151.1,448
2884450,151.8,385
2885450,174.4,458
2886450,154.9,460
2887450,148.6,386
2888450,173.2,446
2889450,159.2,470
3240450,89.1,385
3241450,104.2,428
3242450,99.7,472
3243450,88.4,393
3244450,102.5,414
3245450,102.1,475
3246450,88.2,403
3247450,100.2,402
3248450,104,475
3249450,89,415
3600450,85.6,349
3601450,92.5,420
3602450,79,382
3603450,83.4,343
3604450,93.2,413
3605450,80.7,393
3606450,81.2,339
3607450,93.3,404
3608450,82.6,404
3609450,79.5,339
3960450,90.1,433
3961450,82.4,455
3962450,75.9,378
3963450,88.9,420
3964450,84.5,462
3965450,75.4,385
3966450,87.3,407
