Force,Position,date
102.11999999999999,116.326,Mon Jul 14 2014 07:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 08:24:00 GMT-0400 (EDT)
2.414,17.750999999999998,Mon Jul 14 2014 09:24:00 GMT-0400 (EDT)
27.807,16.328,Mon Jul 14 2014 10:24:00 GMT-0400 (EDT)
136.194,147.51600000000002,Mon Jul 14 2014 11:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 12:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 13:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 14:24:00 GMT-0400 (EDT)
9.858,25.32,Mon Jul 14 2014 15:24:00 GMT-0400 (EDT)
8.97,23.099,Mon Jul 14 2014 16:24:00 GMT-0400 (EDT)
194.94299999999998,183.554,Mon Jul 14 2014 17:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 18:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 19:24:00 GMT-0400 (EDT)
16.321,23.299,Mon Jul 14 2014 20:24:00 GMT-0400 (EDT)
63.92999999999999,44.985,Mon Jul 14 2014 21:24:00 GMT-0400 (EDT)
209.15099999999998,219.717,Mon Jul 14 2014 22:24:00 GMT-0400 (EDT)
0,0,Mon Jul 14 2014 23:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 00:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 01:24:00 GMT-0400 (EDT)
249.33199999999997,190.78500000000003,Tue Jul 15 2014 02:24:00 GMT-0400 (EDT)
286.213,234.34300000000002,Tue Jul 15 2014 03:24:00 GMT-0400 (EDT)
173.037,142.89900000000003,Tue Jul 15 2014 04:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 05:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 06:24:00 GMT-0400 (EDT)
182.519,150.915,Tue Jul 15 2014 07:24:00 GMT-0400 (EDT)
52.40599999999999,62.467,Tue Jul 15 2014 08:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 09:24:00 GMT-0400 (EDT)
216.686,160.849,Tue Jul 15 2014 10:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 11:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 12:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 13:24:00 GMT-0400 (EDT)
83.03299999999999,66.20899999999999,Tue Jul 15 2014 14:24:00 GMT-0400 (EDT)
76.354,70.455,Tue Jul 15 2014 15:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 16:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 17:24:00 GMT-0400 (EDT)
33.243,38.619,Tue Jul 15 2014 18:24:00 GMT-0400 (EDT)
235.83499999999998,177.68099999999998,Tue Jul 15 2014 19:24:00 GMT-0400 (EDT)
121.21200000000002,111.199,Tue Jul 15 2014 20:24:00 GMT-0400 (EDT)
0,0,Tue Jul 15 2014 21:24:00 GMT-0400 (EDT)
233.88399999999996,193.445,Tue Jul 15 2014 22:24:00 GMT-0400 (EDT)
39.833999999999996,45.775,Tue Jul 15 2014 23:24:00 GMT-0400 (EDT)
235.93699999999998,182.846,Wed Jul 16 2014 00:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 01:24:00 GMT-0400 (EDT)
85.113,79.622,Wed Jul 16 2014 02:24:00 GMT-0400 (EDT)
457.5950000000001,325.837,Wed Jul 16 2014 03:24:00 GMT-0400 (EDT)
516.954,405.791,Wed Jul 16 2014 04:24:00 GMT-0400 (EDT)
171.34199999999998,130.169,Wed Jul 16 2014 05:24:00 GMT-0400 (EDT)
126.51399999999998,80.397,Wed Jul 16 2014 06:24:00 GMT-0400 (EDT)
194.195,163.213,Wed Jul 16 2014 07:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 08:24:00 GMT-0400 (EDT)
210.39299999999997,167.31799999999998,Wed Jul 16 2014 09:24:00 GMT-0400 (EDT)
114.627,87.873,Wed Jul 16 2014 10:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 11:24:00 GMT-0400 (EDT)
176.731,132.27,Wed Jul 16 2014 12:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 13:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 14:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 15:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 16:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 17:24:00 GMT-0400 (EDT)
457.262,325.704,Wed Jul 16 2014 18:24:00 GMT-0400 (EDT)
109.929,92.085,Wed Jul 16 2014 19:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 20:24:00 GMT-0400 (EDT)
0,0,Wed Jul 16 2014 21:24:00 GMT-0400 (EDT)
